3,5,10,28
4,10,10,39
5,15,10,38
6,20,10,37
7,25,10,35
8,30,10,36
9,35,10,36
10,40,10,39
11,45,10,37
12,50,10,34
13,55,10,36
14,60,10,35
15,65,10,33
16,70,10,34
17,75,10,35
18,80,10,35
19,85,10,33
20,90,10,29
21,95,10,30
22,100,10,29
23,105,10,31
24,110,10,59
25,115,10,37
26,120,10,34
27,125,10,30
28,130,10,29
29,135,10,29
30,140,10,29
31,145,10,33
32,150,10,33
33,155,10,35
34,5,15,29
35,10,15,29
36,15,15,36
37,20,15,34
38,25,15,31
39,30,15,29
40,35,15,30
41,40,15,29
42,45,15,29
43,50,15,36
44,55,15,36
45,60,15,36
46,65,15,35
47,70,15,30
48,75,15,28
49,80,15,28
50,85,15,28
51,90,15,29
52,95,15,35
53,100,15,59
54,105,15,59
55,110,15,28
56,115,15,28
57,120,15,28
58,125,15,28
59,130,15,35
60,135,15,33
61,140,15,35
62,145,15,28
63,150,15,28
64,155,15,28
65,5,20,28
66,10,20,28
67,15,20,48
68,20,20,44
69,25,20,30
70,30,20,28
71,35,20,29
72,40,20,29
73,45,20,50
74,50,20,48
75,55,20,51
76,60,20,34
77,65,20,28
78,70,20,27
79,75,20,27
80,80,20,28
81,85,20,28
82,90,20,28
83,95,20,30
84,100,20,28
85,105,20,28
86,110,20,27
87,115,20,27
88,120,20,28
89,125,20,27
90,130,20,27
91,135,20,28
92,140,20,28
93,145,20,28
94,150,20,28
95,155,20,28
96,5,25,122
97,10,25,61
98,15,25,62
99,20,25,62
100,25,25,61
101,30,25,34
102,35,25,61
103,40,25,61
104,45,25,61
105,50,25,62
106,55,25,61
107,60,25,63
108,65,25,31
109,70,25,30
110,75,25,63
111,80,25,63
112,85,25,118
113,90,25,119
114,95,25,44
115,100,25,198
116,105,25,30
117,110,25,29
118,115,25,29
119,120,25,29
120,125,25,30
121,130,25,339
122,135,25,132
123,140,25,131
124,145,25,131
125,150,25,132
126,155,25,30
